코드번호,회사명
A010690,화신
A010950,S-OIL
A074600,원익QNC
A025900,동화기업
A093370,후성
A011790,SKC
A006110,삼아알미늄
A002900,TYM
A071090,하이스틸
A050860,아세아텍
A011560,세보엠이씨
A071280,로체시스템즈
A215000,골프존
A137310,에스디바이오센서
A014130,한익스프레스
A014830,유니드
A005420,코스모화학
A048830,엔피케이
A192650,드림텍
A190510,나무가
A042110,에스씨디
A074430,아미노로직스
A060540,에스에이티
A340440,세림B&G
A081580,성우전자
A382480,지아이텍
A129260,인터지스
A031330,에스에이엠티
A281740,레이크머티리얼즈
A014580,태경비케이
A008260,NI스틸
A080220,제주반도체
A081150,티플랙스
A103590,일진전기
A053050,지에스이
A282690,동아타이어
A040420,정상제이엘에스
A000810,삼성화재
A001120,LX인터내셔널
A001450,현대해상
A007590,동방아그로
A034590,인천도시가스
A094280,효성ITX
A213500,한솔제지
A108320,LX세미콘
A069260,TKG휴켐스
A134380,미원화학
A002840,미원상사
A208140,정다운
A267290,경동도시가스
A024090,디씨엠
A037460,삼지전자
A067990,도이치모터스
A012620,원일특강
A054930,유신
A190650,코리아에셋투자증권
A054040,한국컴퓨터
A037400,우리엔터프라이즈
A094970,제이엠티
A088790,진도
A153490,우리이앤엘
A212560,네오오토
A030720,동원수산
A010470,오리콤
A045060,오공
A053060,세동
A113810,디젠스
A080010,이상네트웍스
A045300,성우테크론
A093380,풍강
A032580,피델릭스
A332370,아이디피
A376180,피코그램
A025560,미래산업
A372800,아이티아이즈
A067770,세진티에스
A130500,GH신소재
A064480,브리지텍
A043360,디지아이
A073010,케이에스피
A011300,성안
A049470,SGA
A018500,동원금속
A008600,윌비스
A054940,엑사이엔씨
A225590,패션플랫폼
A084870,TBH글로벌
A215790,이노인스트루먼트
A010420,한솔PNS
A126640,화신정공
A037760,쎄니트
A024840,KBI메탈
A044780,에이치케이
A079950,인베니아
A069330,유아이디
A012030,DB
A011370,서한
A027970,세하
A002450,삼익악기
A052900,KMH하이텍
A035890,서희건설
A012800,대창
A009270,신원
A002780,진흥기업
A058850,KTCS
A073560,우리손에프앤지
A024910,경창산업
A058860,KTIS
A016090,대현
A007280,한국특강
A005390,신성통상
A133820,화인베스틸
A010100,한국프랜지
A024800,유성티엔에스
A058450,일야
A096350,대창솔루션
A085810,알티캐스트
A014910,성문전자
A038060,루멘스
A083660,CSA 코스믹
A076080,웰크론한텍
A026040,제이에스티나
A024740,한일단조
A254120,자비스
A115610,이미지스
A093640,다믈멀티미디어
A099440,스맥
A192390,윈하이텍
A005030,부산주공
A076610,해성옵틱스
A072950,빛샘전자
A085910,네오티스
A069140,누리플랜
A179900,유티아이
A004360,세방
A009180,한솔로지스틱스
A155660,DSR
A084650,랩지노믹스
A217600,켐온
A143160,아이디스
A006620,동구바이오제약
A009300,삼아제약
A065510,휴비츠
A025550,한국선재
A002760,보락
A357550,석경에이티
A102120,어보브반도체
A317400,자이에스앤디
A002070,비비안
A038950,파인디지털
A014100,메디앙스
A204020,그리티
A075130,플랜티넷
A308100,까스텔바작
A031310,아이즈비전
A069640,한세엠케이
A091340,S&K폴리텍
A289010,아이스크림에듀
A123700,SJM
A093240,형지엘리트
A198080,엔피디
A225220,제놀루션
A214150,클래시스
A099430,바이오플러스
A205470,휴마시스
A259960,크래프톤
A058470,리노공업
A000990,DB하이텍
A064760,티씨케이
A041830,인바디
A053610,프로텍
A095340,ISC
A093320,케이아이엔엑스
A101160,월덱스
A208370,셀바스헬스케어
A153460,네이블
A138070,신진에스엠
A000850,화천기공
A008110,대동전자
A059210,메타바이오메드
A187270,신화콘텍
A011420,갤럭시아에스엠
A049830,승일
A067730,로지시스
A045510,정원엔시스
A059100,아이컴포넌트
A079650,서산
A064800,젬백스링크
A007460,에이프로젠 MED
A039980,리노스
A003060,에이프로젠제약
A109960,에이프로젠 H&G
A036170,클라우드에어
A002870,신풍제지
A002920,유성기업
A007720,대명소노시즌
A023000,삼원강재
A126560,현대퓨처넷
A096690,에이루트
A078860,아이오케이
A024810,이화전기
A039310,세중
A008370,원풍
A080470,성창오토텍
A010660,화천기계
A054410,케이피티유
